No,EN,JA
1,I was at the bus stop.,私はバス停にいました。
2,He was in the garden.,彼は庭にいました。
3,She was a teacher.,彼女は教師でした。
4,My cat was under the chair.,私の猫は椅子の下にいました。
5,It was sunny yesterday.,昨日は晴れていました。
6,It was a very hot day.,とても暑い日でした。
7,He was the chief editor.,彼は編集長でした。
8,She was a pianist.,彼女はピアニストでした。
9,They were at the bank.,彼らは銀行にいました。
10,We were glad to hear that.,私たちはそれを聞いて嬉しかったです。
11,You were here.,あなたはここにいました。
12,Mr. White was on the second floor.,ホワイトさんは 2 階にいました。
13,There was a picture on the wall.,壁に絵がありました。
14,There were three erasers.,消しゴムが 3 個ありました。
15,These PCs were in the meeting room.,これらのパソコンは会議室にありました。
16,It wasn’t on the shelf.,それは棚の上にありませんでした。
17,I wasn’t good at cooking.,私は料理が得意ではありませんでした。
18,She wasn’t in charge of marketing.,彼女はマーケティング担当ではありませんでした。
19,They weren’t there.,彼らはそこにいませんでした。
20,We weren’t happy about the plan.,私たちはその計画に満足していませんでした。
21,Was she late for school?,彼女は学校に遅れましたか。
22,Was this memo for me?,このメモは私宛てでしたか。
23,Was he on the train then?,彼はその時電車に乗っていましたか。
24,Were there any children in the park?,公園に子供はいましたか。
25,Where was my key?,私の鍵はどこにありましたか。
