No,EN,JA
1,This is my wife.,これは私の妻です。
2,That is your office.,あれがあなたのオフィスです。
3,This is her new address.,これが彼女の新しい住所です。
4,His friends call him Mike.,彼の友達は彼をマイクと呼びます。
5,Everyone knows its name.,みんなその名前を知っています。
6,A friend of mine visited me.,私の友達が私を訪ねてきました。
7,They will send us the documents.,彼らは私たちにその書類を送ってくれます。
8,We’ll help him clean his room.,私たちは彼が彼の部屋を片付けるのを手伝います。
9,She emailed these photos to them.,彼女は彼らにこれらの写真を Eメールで送りました。
10,My aunt lives by herself.,私の叔母は一人暮らしをしています。
11,Our rules are different from theirs.,私たちの規則は彼らのものとは異なります。
12,Please introduce yourselves.,あなた方の自己紹介をしてください。
13,She saw herself in the mirror.,彼女は彼女自身を鏡で見ました。
14,I bought myself a pair of boots.,私は自分にブーツを買いました。
15,Please help yourself.,ご自由にお取りください。
16,This pen isn’t mine.,このペンは私のものではありません。
17,You don’t have to do it yourself.,あなたは自分でそれをする必要はありません。
18,She doesn’t want to call her mother.,彼女は自分の母親に電話をしたくありません。
19,Please don’t send me the file.,私にそのファイルを送らないでください。
20,They did not know it themselves.,彼ら自身もそれを知りませんでした。
21,Is Mr. Johnson her boss?,ジョンソンさんは彼女の上司ですか。
22,What’s your favorite sport?,あなたの好きなスポーツは何ですか。
23,When’s her birthday?,彼女の誕生日はいつですか。
24,Do I have to write the report by myself?,私は自分で報告書を書かなければなりませんか。
25,Which box is yours?,どちらの箱があなたのものですか。
