No,EN,JA
1,I’m running.,私は走っています。
2,She’s reading a book.,彼女は本を読んでいます。
3,He’s swimming.,彼は泳いでいます。
4,They’re walking together.,彼らは一緒に歩いています。
5,My sister’s cooking dinner.,私の姉は夕食を作っています。
6,I’m writing an email.,私は Eメールを書いています。
7,She’s listening to music.,彼女は音楽を聴いています。
8,They’re watching TV.,彼らはテレビを見ています。
9,He’s sleeping on the sofa.,彼はソファーで寝ています。
10,They’re having lunch.,彼らは昼食をとっています。
11,I’m drawing a picture.,私は絵を描いています。
12,She’s opening the window.,彼女は窓を開けています。
13,He’s riding a bike in the park.,彼は公園で自転車に乗っています。
14,They’re laughing.,彼らは笑っています。
15,We’re digging a hole.,私たちは穴を掘っています。
16,We’re not watching the video.,私たちはビデオを見ていません。
17,I’m not feeling well.,私は気分が良くないです。
18,She isn’t making a phone call.,彼女は電話をかけていません。
19,He’s not making photocopies.,彼はコピーを取っていません。
20,They aren’t looking at me.,彼らは私を見ていません。
21,Is she driving a car now?,彼女は今、車を運転していますか。
22,Are you checking the list?,あなたは一覧を確認していますか。
23,Are they standing in line?,彼らは列に並んでいますか。
24,Who’s speaking?,誰が話していますか。
25,Who is giving a speech now?,誰が今、スピーチをしているのですか。
