No,EN,JA
1,I wash my hands before work.,私は仕事の前に手を洗います。
2,I check my emails on the train.,私は電車で Eメールを確認します。
3,I dust the furniture.,私は家具のほこりをはらいます。
4,I live near the bank.,私は銀行の近くに住んでいます。
5,He makes coffee after lunch.,彼は昼食後にコーヒーを入れます。
6,She calls her mother on Sundays.,彼女は毎週日曜日に母親に電話をします。
7,Our company holds a party every year.,私たちの会社は毎年パーティーを開きます。
8,Mr. Kato drives his car in the morning.,加藤さんは朝、車を運転します。
9,He sometimes sweeps the floor.,彼はときどき床を掃きます。
10,She dries her hair after taking a shower.,彼女はシャワーを浴びたあと髪を乾かします。
11,They have dinner together on the weekend.,彼らは週末に一緒に夕食を食べます。
12,She watches TV at nine every day.,彼女は毎日 9 時にテレビを見ます。
13,We play soccer together in summer.,私たちは夏に一緒にサyカーをします。
14,This camera has a lot of buttons.,このカメラにはたくさんのボタンがあります。
15,This pen comes in many colors.,このペンにはたくさんの色があります。
16,I don’t understand this message.,私はこのメyセージが理解できません。
17,They don’t speak Japanese.,彼らは日本語を話しません。
18,She usually doesn’t set her alarm.,彼女は普段目覚ましをかけません。
19,This timer doesn’t have a silent mode.,このタイマーには消音モードはありません。
20,These boxes don’t have lids.,これらの箱には蓋がありません。
21,Do you have any problems?,あなたは何か問題はありますか。
22,Do we have any markers?,私たちはマーカーを持っていますか。
23,Does it work with this cable?,それはこのケーブルで動きますか。
24,Does he speak Chinese?,彼は中国語を話しますか。
25,Does that room have a shower?,あの部屋にはシャワーがありますか。
