No,EN,JA
1,There is a post office in this building.,このビルには郵便局があります。
2,There are some strawberries on the plate.,皿にイチゴがいくつかあります。
3,There’s plenty of time.,時間はたっぷりあります。
4,There are three courses available now.,現在3つのコースが準備されています。
5,There are two cafés along the river.,この川沿いにカフェが 2 軒あります。
6,There used to be a hotel on this site.,この敷地にはかつてホテルがありました。
7,There must be a treasure in this town.,この町の中にはきっと宝物があるはずです。
8,There is a problem with this project.,このプ□ジェクトには問題があります。
9,There has been a delay.,遅延が発生しています。
10,There happened to be a car accident.,たまたま交通事故がありました。
11,There’s no convenience store nearby.,近くにコンビニエンスストアはありません。
12,There aren’t any people in this area.,この辺りには人が一人もいません。
13,There are no tasks to complete.,終わらせるべき課題はありません。
14,There aren’t any windows in this room.,この部屋には 1 つも窓がありません。
15,There wasn’t a snowman here last night.,昨夜はここに雪だるまがありませんでした。
16,Is anyone there?,誰かいますか。
17,Is there any chance of success?,成功の可能性はあるのでしょうか。
18,Is there something wrong with this machine?,この機械はどこか調子が悪いのでしょうか。
19,Are there any other questions?,他に質問はありませんか。
20,Are there any other items to buy?,他に購入するものはありませんか。
