No,EN,JA
1,We will have finished writing it by tomorrow.,私たちは明日までにはこれを書き終えているでしょう。
2,I will have delivered it by seven p.m.,私は午後7時までにそれを納品する予定です。
3,She will have written a novel in a month.,彼女は1か月で小説を書きあげるでしょう。
4,I’ll have done my Christmas shopping soon.,私はそろそろクリスマスの買い物が済むでしょう。
5,He’ll have finished cleaning his room by tomorrow.,彼は明日までに自分の部屋の掃除を終えているでしょう。
6,We will have visited three countries by then.,私たちはその時までに3か国を訪問しているでしょう。
7,I’ll have mastered English in six months.,私は6か月で英語をマスターするでしょう。
8,They’ll have shipped the order by tonight.,彼らは今晩までに注文の品を出荷し終えるでしょう。
9,I will have saved enough money soon.,私はもうすぐ十分なお金を貯めているでしょう。
10,He’ll have hung up before she stops talking.,彼女がしゃべるのをやめる前に、彼は電話を切ってしまうでしょう。
11,We’ll have been married for three years soon.,私たちはもうすぐ結婚して3年になります。
12,I’ll have studied for five hours.,私は5時間勉強していることになるでしょう。
13,She will have arrived by now.,彼女はもうそろそろ到着しているでしょう。
14,I will have been cleaning my room all day.,私は一日中部屋を掃除していることになるでしょう。
15,We will have solved the problem soon.,私たちは近いうちに問題を解決するでしょう。
16,I won’t have finished reading this by tomorrow.,私は明日までにこれを読み終えることはないでしょう。
17,She won’t have kept practicing that long.,彼女はそんなに長くは練習し続けないでしょう。
18,I won’t have slept enough by then.,私はそれまで十分に眠れないでしょう。
19,He won’t have eaten them all so soon.,彼はそんなに早くそれらを全部食べてしまうことはないでしょう。
20,I won’t have finished the laundry by noon.,私は正午までに洗濯を終えてはいないでしょう。
21,Will you have written the draft by then?,あなたはそれまでに原稿を書き終えているでしょうか。
22,Will you have arrived in France by tomorrow?,あなたは明日までにフランスに到着しているでしょうか。
23,Will they have reached the station in an hour?,彼らは1時間以内に駅に到着しているでしょうか。
24,Will he have finished the letter by nine?,彼は9時までに手紙を書き終えているでしょうか。
25,Will you have eaten them all by tomorrow?,あなたは明日までにそれらを全部食べてしまいそうですか。
