No,EN,JA
1,She had read the message before.,彼女は以前そのメッセージを読んだことがありました。
2,We had left the office before he called.,彼が電話をしてくる前に、私たちはオフィスを出ていました。
3,The train had already left when I got there.,私がそこに着いたときには、もう電車は出発していました。
4,It had started raining before I met her.,私が彼女に会う前に、雨が降り始めていました。
5,She’d been to France before she turned two.,彼女は2歳になる前にフランスに行ったことがありました。
6,She had met the man once before.,彼女は前に一度その男性に会ったことがありました。
7,We had eaten that food before.,私たちは前にその食べ物を食べたことがありました。
8,I had sung that song before.,私は前にその歌を歌ったことがありました。
9,He had bought the book before I did.,私が買う前に、彼はその本を買っていました。
10,She had played the song before she was told to.,彼女は言われる前にその曲を弾いたことがありました。
11,They had been there for three weeks then.,彼らはその時まで3週間そこにいました。
12,We had been married for three years before that.,私たちはそれより前に3年間結婚していました。
13,I had taken the bus several times before.,私は前に何回かそのバスに乗ったことがありました。
14,She had been cooking until I arrived.,私が到着するまで、彼女は料理を作っていました。
15,They had lived there before I moved in.,私が引っ越して来る前に、彼らはそこに住んでいました。
16,I had not been to that restaurant before.,私は以前にそのレストランに行ったことがありませんでした。
17,She hadn’t finished reading the book then.,彼女はその時までその本を読み終えていませんでした。
18,They hadn’t seen the picture until yesterday.,彼らは昨日までその絵を見ていませんでした。
19,I hadn’t known about the plan before he told me.,彼が私に話すまで、私はその計画を知りませんでした。
20,He hadn’t finished his report until three days ago.,彼は3日前まで報告書を書き終えていませんでした。
21,Had you been there before 2010?,あなたは2010年より前にそこにいたのですか。
22,Had they been busy before you came?,あなたが来る前に、彼らは忙しかったのですか。
23,Had he left the party when you got there?,あなたがそこに到着したときに、彼はもうパーティーから帰っていましたか。
24,Had you handed in the form before the due date?,あなたは期日前に用紙を提出したのですか。
25,How long had he been waiting when you got there?,あなたがそこに着くまでに、どれくらい彼は待っていたのですか。
