No,EN,JA
1,"Pass me the ruler, please.",私に定規を取ってください。
2,The box on the table is empty.,テーブルの上の箱は空です。
3,He was the fi rst president.,彼は初代社長でした。
4,They’re paid by the hour.,彼らは時給制です。
5,He took me by the arm.,彼は私の腕をつかみました。
6,She visited the National Gallery.,彼女はナショナル・ギャラリーを訪れました。
7,The sun rises in the east.,太陽は東から昇ります。
8,This article appeared in The Times.,この記事はタイムズ紙に掲載されました。
9,The Carters moved to the USA.,カータ一家はアメリカに引っ越しました。
10,A month has passed since then.,それから1か月が経ぎました。
11,I eat an apple a day.,私は1日に1個リンゴを食べます。
12,We have a meeting twice a month.,私たちは一ヶ月に2回会議を行います。
13,She usually goes to bed at 10:30.,彼女は普段10時30分に寝ます。
14,My son leaves for school at seven o’clock.,私の息子は7時に学校へ出発します。
15,I think that’s a good plan.,それはすばらしい計画だと私は思います。
16,He didn’t work in the morning.,彼は午前中働きませんでした。
17,I didn’t have a chance to visit the Alps.,私はアルプス山脈を訪れる機会がありませんでした。
18,She is not the winner of the contest.,彼女はコンテストの優勝者ではありません。
19,This product is not sold by the gram.,この製品はグラム単位で売られていません。
20,They didn’t lock the door.,彼らはドアに鍵をかけませんでした。
21,Is this the pen you’re looking for?,これはあなたが探しているペンですか。
22,Can you play the guitar?,あなたはギターを弾けますか。
23,What’s the smallest animal in the world?,世界で一番小さい動物は何ですか。
24,Can you visit her once in a while?,あなたはときどき彼女を訪してくれますか。
25,Does she have a violin lesson today?,彼女は今日バイオリンのレッスンがありますか。
