No,EN,JA
1,I’ve already completed my task.,私はすでに任務を完了しました。
2,She has sent an email.,彼女はEメールを送りました。
3,He has just come back home.,彼はちょうど家に着いたところです。
4,I’ve finished reading this book.,私はこの本を読み終えました。
5,He’s gone to New York.,彼はニューヨークに行ってしまいました。
6,I’ve been to London twice.,私はロンドンに2回行ったことがあります。
7,She has talked with him before.,彼女は彼と以前話したことがあります。
8,He has seen that movie before.,彼はその映画を以前見たことがあります。
9,She has been to one of his concerts.,彼女は彼のコンサートに行ったことがあります。
10,We’ve met the prime minister once.,私たちは一度、首相に会ったことがあります。
11,I’ve been listening to the radio all day.,私は一日中ラジオを聴いていました。
12,They have lived in this town since 1998.,彼らは1998年以来この町に住んでいます。
13,We have studied Spanish for three years.,私たちはスペイン語を3年間勉強しています。
14,We’ve known each other for a long time.,私たちは長い間お互いを知っています。
15,She’s been washing her car for two hours.,彼女は2時間ずっと車を洗っています。
16,I’ve never read this novel before.,私は以前にこの小説を読んだことがありません。
17,She hasn’t eaten breakfast yet.,彼女はまだ朝食を食べていません。
18,We haven’t ordered it yet.,私たちはまだそれを注文していません。
19,They have never seen each other.,彼らは一度もお互いに会ったことがありません。
20,He has never been to Europe.,彼は一度もヨーロッパに行ったことがありません。
21,Have you cleaned the kitchen yet?,まだあなたはキッチンを掃除していませんか。
22,Has she arrived yet?,まだ彼女は到着していませんか。
23,Have you already handed in the report?,あなたはもう報告書を提出しましたか。
24,How have you been recently?,最近あなたはどうしていましたか。
25,How long have you been in Japan?,あなたはどれくらい日本に滞在していますか。
