No,EN,JA
1,What is this?,これは何ですか。
2,What’s in this box?,この箱の中にあるのは何ですか。
3,What’s your current job?,あなたの現在の仕事は何ですか。
4,What’s your sister like?,あなたの姉はどのような人ですか。
5,What’s this book about?,この本はどのような内容ですか。
6,What sport are you good at?,あなたは何のスポーツが得意ですか。
7,How are you?,お元気ですか。
8,How old is your cat?,あなたの猫は何歳ですか。
9,How long will you stay in Los Angeles?,あなたはどれくらい長くロサンゼルスに滞在しますか。
10,How much is this frame?,この額縁はいくらですか。
11,How tall is she?,彼女はどれくらい背が高いですか。
12,How many rolls do you need?,あなたは何ロール必要ですか。
13,How often do you eat out?,あなたはどのくらいの頻度で外食しますか。
14,When’s your birthday?,あなたの誕生日はいつですか。
15,When’s the due date for this?,この締め切りはいつですか。
16,Where’s your cup?,あなたのカップはどこですか。
17,Where’s my husband?,私の夫はどこですか。
18,"Which is better, this or that?",これとあれ、どちらがいいですか。
19,Which country do you want to visit?,あなたはどの国を訪れたいですか。
20,Why are you so sleepy?,なぜあなたはそんなに眠いのですか。
21,Why are they here?,なぜ彼らはここにいるのですか。
22,Who are they?,彼らは誰ですか。
23,Who’s next?,次は誰ですか。
24,Whose book is this?,これは誰の本ですか。
25,Whose boxes are they?,それらは誰の箱ですか。
