No,EN,JA
1,It’s seven o’clock in the morning.,朝の7時です。
2,It’s windy today.,今日は風が強いです。
3,It took me two hours to get the ticket.,私がそのチケットを取るのに2時間かかりました。
4,"If you don’t like it, you can choose another one.",もしあなたがそれを気に入らなければ、他のものを選んでいいです。
5,"She has two daughters: one is a doctor, and the other one is a lawyer.",彼女には二人の娘がいます。一人は医者で、もう一人は弁護土です。
6,Some like coffee; others prefer tea.,コーヒーが好きな人もいれば、紅茶が好きな人もいます。
7,They have known each other for a long time.,彼らは長い間お互いを知っています。
8,All’s well that ends well.,終わり良ければすべて良し。※定型表現
9,All of us were very pleased.,私たち全員はとても喜んでいました。
10,Each of us needs to create an account.,各自がアカウントを作成する必要があります。
11,"I lost my jacket, so I need to buy one.",私はジャケットを無くしたので、買わなければいけません。
12,He is one of my favorite newscasters.,彼は私の好きなニュースキャスターの一人です。
13,Some of my friends like this singer.,私の友達の何人かはこの歌手が好きです。
14,All of my friends are animal lovers.,私の友達はみんな動物好きです。
15,None of my friends knew him.,私の友達は誰も彼のことを知りませんでした。
16,Don’t take it personally.,悪く思わないでください。
17,He didn’t buy the same one.,彼は同じものは買いませんでした。
18,I don’t like either.,私はどちらも好きではありません。
19,She didn’t want anything special.,彼女は特別なことは何も望んでいませんでした。
20,We can’t do anything about the problem.,私たちはこの問題に対して何もできません。
21,Do you have any other questions?,あなたは他に何か質問はありますか。
22,How long did it take to come here?,ここに来るのにどれくらい時間がかかりましたか。
23,How much did it cost?,それはいくらかかりましたか。
24,"Can I have that one, please?",あれをいただけますか。
25,Would you like another cup of tea?,紅茶のおかわりはいかがですか。
