No,EN,JA
1,I took pictures in the park.,私は公園で写真を撮りました。
2,She put her shoes on the floor.,彼女は床に靴を置きました。
3,We sang a song together.,私たちは一緒に歌を歌いました。
4,He bought a new coat.,彼は新しいコートを買いました。
5,She sat at the table.,彼女はテーブルにつきました。
6,My father gave it to me.,私の父はこれを私にくれました。
7,They found the present.,彼らはプレゼントを見つけました。
8,It cost me five dollars.,それは 5 ドルしました。
9,My brother broke this chair.,私の弟がこの椅子を壊しました。
10,We went to the seminar.,私たちはセミナーに行きました。
11,They met for the first time.,彼らは初めて会いました。
12,He spoke to Ms. Bright.,彼はブライトさんに話しかけました。
13,I heard her voice.,私は彼女の声を聞きました。
14,I fell asleep on the sofa.,私はソファーで寝てしまいました。
15,I had a great time with them.,私は彼らと素晴らしい時間を過ごしました。
16,He didn’t take his umbrella with him.,彼は傘を持って行きませんでした。
17,She didn’t send a card to anyone.,彼女は誰にもカードを送りませんでした。
18,They didn’t say anything about it.,彼らはそれについて何も言いませんでした。
19,My dog didn’t run.,私の犬は走りませんでした。
20,We didn’t tell her the truth.,私たちは彼女に真実を伝えませんでした。
21,Did she give you the file?,彼女はファイルをあなたに渡しましたか。
22,Did he come to the party?,彼はパーティーに来ましたか。
23,Did the train leave on time?,電車は時間どおりに出発しましたか。
24,Did they swim in the river?,彼らは川で泳ぎましたか。
25,What did you do last night?,あなたは昨夜何をしましたか。
