No,EN,JA
1,I’ll leave here soon.,私はじきにここを出発するつもりです。
2,My brother and I will play baseball.,私の兄と私は野球をするつもりです。
3,He will visit China next month.,彼は来月中国を訪れるでしょう。
4,She’ll come next week.,彼女は来週来るでしょう。
5,It will rain tomorrow.,明日は雨が降るでしょう。
6,It will be sunny this afternoon.,今日の午後は晴れるでしょう。
7,He’ll try his best in the match.,彼は試合で最善を尽くすでしょう。
8,They’ll book the flight to Paris.,彼らはパリ行きのフライトを予約するでしょう。
9,I’m going to go shopping tonight.,私は今夜買い物に行くつもりです。
10,I’m going to see my uncle.,私は叔父に会いに行くつもりです。
11,She’s going to have a birthday party.,彼女は誕生日会を開くつもりです。
12,He’s going to be the first speaker.,彼は最初の講演者になりそうです。
13,They’re going to see the movie.,彼らは映画を見に行くつもりです。
14,We’re going to take care of her dog.,私たちは彼女の犬の世話をするつもりです。
15,The talk is about to begin.,講演が今まさに始まるところです。
16,He won’t join us today.,彼は今日、私たちに合流しないでしょう。
17,They won’t buy the ticket.,彼らはそのチケットを買わないでしょう。
18,She’s not going to accept the offer.,彼女はその申し出を受け入れるつもりはありません。
19,He’s not going to come back home today.,彼は今日、帰宅するつもりはありません。
20,I’m not going to order curry and rice.,私はカレーライスを注文しないつもりです。
21,Will you come to the seminar?,あなたはセミナーに来るつもりですか。
22,What will you cook for us?,あなたは私たちに何を料理してくれるつもりですか。
23,What is she going to do this afternoon?,彼女は今日の午後何をするつもりですか。
24,When will the printer be ready?,いつプリンターは準備できますか。
25,Are you going to pick up your shirts?,あなたはシャツを取りに行くつもりですか。
